title,url,publication_date,summary,source_id,category_id,author_id,source_type,title_preprocesado,preprocesado,bert,bert_label
Cambios en la Estructura Municipal de El Salvador,https://www.contrapunto.com.sv/cambios-en-la-estructura-municipal-de-el-salvador/,2023-11-06T10:00:08-06:00,Cambios en la Estructura Municipal de El Salvador.,Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,cambios estructura municipal salvador,cambios estructura municipal salvador,4 stars,NEUTRAL
TSE oficializa inscripción de Nayib Bukele como candidato a presidente 2024,https://www.contrapunto.com.sv/tse-oficializa-inscripcion-de-nayib-bukele-como-candidato-a-presidente-2024/,2023-11-03T14:52:26-06:00,"Nayib Bukele ha sido inscrito con votos de 4 magistrados y una abstención de Julio Olivo. Además, la fórmula del FMLN fue avalada por unanimidad, y el resto deben “subsanar prevenciones”.
",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,tse oficializa inscripción nayib bukele candidato presidente 2024,nayib bukele sido inscrito votos 4 magistrados abstención julio olivo además fórmula fmln avalada unanimidad resto deben subsanar prevenciones,1 star,NEGATIVA
“Hay miedo” en el TSE dice Julio Olivo ante inscripción del presidente Bukele,https://www.contrapunto.com.sv/hay-miedo-en-el-tse-dice-julio-olivo-ante-inscripcion-del-presidente-bukele/,2023-11-01T14:31:06-06:00,"Magistrado del TSE, Julio Olivo, señala que hay un miedo al interior del organismo colegiado debido al proceso de inscripción de la candidatura de Nayib Bukele para buscar la reelección.",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,miedo tse dice julio olivo inscripción presidente bukele,magistrado tse julio olivo señala miedo interior organismo colegiado debido proceso inscripción candidatura nayib bukele buscar reelección,1 star,NEGATIVA
Magistrado Julio Olivo sobre inscripción de Bukele: “Voy a cumplir con la Constitución de la República”,https://www.contrapunto.com.sv/magistrado-julio-olivo-sobre-inscripcion-de-bukele-voy-a-cumplir-con-la-constitucion-de-la-republica/,2023-10-31T13:36:25-06:00,"El magistrado del TSE, Julio Olivo, aseguró que razonará su voto para la inscripción de candidaturas amparándose en el artículo 235 de la Constitución de la República.
",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,magistrado julio olivo inscripción bukele voy cumplir constitución república,magistrado tse julio olivo aseguró razonará voto inscripción candidaturas amparándose artículo 235 constitución república,1 star,NEGATIVA
Brian Nichols: la decisión de permitir la reelección de Bukele es de los salvadoreños,https://www.contrapunto.com.sv/brian-nichols-la-decision-de-permitir-la-reeleccion-de-bukele-es-de-los-salvadorenos/,2023-10-27T16:03:23-06:00,"El alto funcionario de los EE. UU., Brian Nichols, dijo que la decisión de reelegir a Bukele es de los salvadoreños; sin embargo, reconoce que el tema “merece un debate sobre la legalidad y la legitimidad”.
",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,brian nichols decisión permitir reelección bukele salvadoreños,alto funcionario ee uu brian nichols dijo decisión reelegir bukele salvadoreños embargo reconoce tema merece debate legalidad legitimidad,1 star,NEGATIVA
Nuestro Tiempo pide al TSE anular inscripción de Nayib Bukele a las elecciones de 2024,https://www.contrapunto.com.sv/nuestro-tiempo-pide-al-tse-anular-inscripcion-de-nayib-bukele-a-las-elecciones-de-2024/,2023-10-27T15:56:03-06:00,"El presidente de Nuestro Tiempo, Andy Failer, y el candidato presidencial del mismo partido, Luis Parada, han presentado una solicitud al Tribunal Supremo Electoral (TSE) en la que piden que no se permita la inscripción de Nayib Bukele como candidato a la presidencia en las elecciones de 2024.",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,tiempo pide tse anular inscripción nayib bukele elecciones 2024,presidente tiempo andy failer candidato presidencial mismo partido luis parada presentado solicitud tribunal supremo electoral tse piden permita inscripción nayib bukele candidato presidencia elecciones 2024,1 star,NEGATIVA
Nayib Bukele y Félix Ulloa presentan solicitud de inscripción al TSE para Elecciones 2024,https://www.contrapunto.com.sv/nayib-bukele-y-felix-ulloa-presentan-solicitud-de-inscripcion-al-tse-para-elecciones-2024/,2023-10-27T01:03:20-06:00,"A último momento, Nayib Bukele y Félix Ulloa se presentaron al TSE para solicitar la inscripción de sus candidaturas, convirtiéndose en la última fórmula presidencial en entregar la documentación.",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,nayib bukele félix ulloa presentan solicitud inscripción tse elecciones 2024,último momento nayib bukele félix ulloa presentaron tse solicitar inscripción candidaturas convirtiéndose última fórmula presidencial entregar documentación,1 star,NEGATIVA
Nuestro Tiempo inscribe su fórmula presidencial ante el TSE,https://www.contrapunto.com.sv/nuestro-tiempo-inscribe-su-formula-presidencial-ante-el-tse/,2023-10-25T12:50:18-06:00,"“El quedarnos inactivos nos hace cómplices y responsables de que termine la destrucción total de la democracia en nuestro país”, dijo Celia Medrano, candidata a vicepresidenta por Nuestro Tiempo.",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,tiempo inscribe fórmula presidencial tse,quedarnos inactivos hace cómplices responsables termine destrucción total democracia país dijo celia medrano candidata vicepresidenta tiempo,1 star,NEGATIVA
Nuestro Tiempo insta al TSE a no inscribir la candidatura presidencial de Bukele,https://www.contrapunto.com.sv/nuestro-tiempo-insta-al-tse-a-no-inscribir-la-candidatura-presidencial-de-bukele/,2023-10-24T12:48:08-06:00,"Nuestro Tiempo solicitó a los magistrados del TSE no inscribir la candidatura presidencial del presidente de la república, Nayib Bukele, para las elecciones de 2024.",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,tiempo insta tse inscribir candidatura presidencial bukele,tiempo solicitó magistrados tse inscribir candidatura presidencial presidente república nayib bukele elecciones 2024,1 star,NEGATIVA
Elecciones 2024: Nuevas Ideas inscribe candidatos legislativos ante el TSE,https://www.contrapunto.com.sv/elecciones-2024-nuevas-ideas-inscribe-candidatos-legislativos-ante-el-tse/,2023-10-20T16:26:07-06:00,"""No vamos a dar un paso atrás"", dijo el presidente de la Asamblea Legislativa, Ernesto Castro, junto al presidente de NI, Xavier Zablah.
",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,elecciones 2024 nuevas idea inscribe candidatos legislativos tse,vamos dar paso atrás dijo presidente asamblea legislativa ernesto castro junto presidente xavier zablah,1 star,NEGATIVA
TSE juramenta las Juntas Electorales Departamentales para elecciones de 2024,https://www.contrapunto.com.sv/tse-juramenta-las-juntas-electorales-departamentales-para-elecciones-de-2024/,2023-10-16T18:33:58-06:00,TSE de El Salvador realizó la juramentación de las 14 Juntas Electorales Departamentales (JED) que supervisarán el proceso electoral en cada departamento del país durante las elecciones generales de 2024. ,Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,tse juramenta junta electorales departamentales elecciones 2024,tse salvador realizó juramentación 14 junta electorales departamentales jed supervisarán proceso electoral cada departamento país elecciones generales 2024,5 stars,POSITIVA
TSE emite prevenciones a inscripción de candidato Presidencial del FMLN,https://www.contrapunto.com.sv/tse-emite-prevenciones-a-inscripcion-de-candidato-presidencial-del-fmln/,2023-10-12T18:01:26-06:00,"Candidato del FMLN, Manuel ""El Chino"" Flores, recibe prevenciones del TSE por solicitud de inscripción para elecciones 2024.",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,tse emite prevenciones inscripción candidato presidencial fmln,candidato fmln manuel chino flores recibe prevenciones tse solicitud inscripción elecciones 2024,1 star,NEGATIVA
"Nayib Bukele deberá dejar la presidencia el 1 de diciembre según Noel Orellana, magistrado del TSE",https://www.contrapunto.com.sv/nayib-bukele-debera-dejar-la-presidencia-el-1-de-diciembre-segun-noel-orellana-magistrado-del-tse/,2023-11-11T18:14:16-06:00,"Nayib Bukele deberá dejar la presidencia el 1 de diciembre para participar en elecciones de 2024, así lo explico el magistrado del TSE, Noel Orellana. ",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,nayib bukele deberá dejar presidencia 1 diciembre según noel orellana magistrado tse,nayib bukele deberá dejar presidencia 1 diciembre participar elecciones 2024 así explico magistrado tse noel orellana,1 star,NEGATIVA
ARENA solicita al TSE anular la inscripción de candidatura de Nayib Bukele,https://www.contrapunto.com.sv/arena-solicita-al-tse-anular-la-inscripcion-de-candidatura-de-nayib-bukele/,2023-11-07T16:26:21-06:00,ARENA pidió al TSE anular candidatura presidencial de Nayib Bukele tras su aprobación con 4 votos a favor del ente colegiado.,Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,arena solicita tse anular inscripción candidatura nayib bukele,arena pidió tse anular candidatura presidencial nayib bukele tras aprobación 4 votos favor ente colegiado,1 star,NEGATIVA
"Magistrado del TSE, Guillermo Wellman, afirma que inscripción de candidatura de Bukele cumple requisitos legales",https://www.contrapunto.com.sv/magistrado-del-tse-guillermo-wellman-afirma-que-inscripcion-de-candidatura-de-bukele-cumple-requisitos-legales/,2023-11-06T13:51:24-06:00,"""La inscripción (del presidente Bukele) está en los parámetros legales, está en lo de ley. Este Organismo Colegiado ha actuado conforme a la ley"": magistrado del TSE, Guillermo Wellman.",Diario Digital Contra Punto,Elecciones El Salvador,,Web Page,magistrado tse guillermo wellman afirma inscripción candidatura bukele cumple requisitos legales,inscripción presidente bukele parámetros legales ley organismo colegiado actuado conforme ley magistrado tse guillermo wellman,3 stars,NEUTRAL
Jurado de la 72ª Edición de MISS UNIVERSO es anunciado,https://www.contrapunto.com.sv/jurado-de-la-72a-edicion-de-miss-universo-es-anunciado/,2023-11-13T17:45:44-06:00,"La Organización Miss Universo anuncia los miembros del Comité de Selección para la 72ª Edición Anual del concurso MISS UNIVERSO, que se llevará a cabo el 18 de noviembre en San Salvador.",Diario Digital Contra Punto,Internacionales,,Web Page,jurado 72ª edición miss universo anunciado,organización miss universo anuncia miembros comité selección 72ª edición anual concurso miss universo llevará cabo 18 noviembre san salvador,5 stars,POSITIVA
El 3% de los salvadoreños perciben aumento de criminalidad en el país,https://www.contrapunto.com.sv/el-3-de-los-salvadorenos-perciben-aumento-de-criminalidad-en-el-pais/,2023-11-09T20:02:17-06:00,Según los datos más recientes de la encuesta realizada por CID Gallup en septiembre de 2023 El Salvador destaca como el país con la menor percepción de aumento de la criminalidad.,Diario Digital Contra Punto,Internacionales,,Web Page,3 salvadoreños perciben aumento criminalidad país,según datos recientes encuesta realizada cid gallup septiembre 2023 salvador destaca país menor percepción aumento criminalidad,1 star,NEGATIVA
"Capturan en México a Elmer Canales Rivera, alias “Crook” cabecilla de la MS-13, y es extraditado a EE.UU.",https://www.contrapunto.com.sv/capturan-en-mexico-a-elmer-canales-rivera-alias-crook-cabecilla-de-la-ms-13-y-es-extraditado-a-ee-uu/,2023-11-09T16:50:51-06:00,"Élmer Canales Rivera, alias “el Crook”, cabecilla de la MS 13 fue detenido por las autoridades de México y fue extraditado a EE.UU., donde era reclamado por delitos de terrorismo.",Diario Digital Contra Punto,Internacionales,,Web Page,capturan méxico elmer canales rivera alias crook cabecilla ms13 extraditado eeuu,élmer canales rivera alias crook cabecilla m 13 detenido autoridades méxico extraditado eeuu reclamado delitos terrorismo,1 star,NEGATIVA
